year,species,site,plot,trt,treatment,pods,cover0,arsincover0,cover3,arsincover3,cover5,arsincover5
2010,ERLA,Botany,206,7,Rdup/Bnvl 0.01,,25.0,0.5235987755982989,18.0,0.4381490305841703,28.0,0.5575988266995368
2010,ERLA,Botany,210,4,Banvel 0.1,,10.0,0.32175055439664224,8.0,0.2867565522115484,7.0,0.2677633271571939
2010,ERLA,Botany,217,6,Roundup 0.1,,20.0,0.46364760900080615,18.0,0.4381490305841703,26.0,0.5350708071951543
2010,ERLA,Botany,224,3,Banvel 0.01,,9.0,0.3046926540153975,10.0,0.32175055439664224,5.0,0.2255134058981312
2010,ERLA,Botany,225,2,No Spray,,17.0,0.4249887829624035,25.0,0.5235987755982989,35.0,0.6330518363897495
2010,ERLA,Botany,255,6,Roundup 0.1,,28.0,0.5575988266995368,45.0,0.7353144528166684,43.0,0.7151674560425204
2010,ERLA,Botany,258,1,Carrier Control,,23.0,0.5001796086974873,55.0,0.8354818739782282,50.0,0.7853981633974484
2010,ERLA,Botany,260,2,No Spray,,42.0,0.7050528369214929,85.0,1.173096911702825,84.0,1.1592794807274087
2010,ERLA,Botany,261,4,Banvel 0.1,,6.0,0.24746706317044773,6.0,0.24746706317044773,5.0,0.2255134058981312
2010,ERLA,Botany,265,5,Roundup 0.01,,10.0,0.32175055439664224,23.0,0.5001796086974873,17.0,0.4249887829624035
2010,ERLA,Botany,274,3,Banvel 0.01,,2.0,0.1418970546041639,4.0,0.20135792079033082,7.0,0.2677633271571939
2010,ERLA,Botany,275,4,Banvel 0.1,,12.0,0.3537416058896715,16.0,0.411516846067488,13.0,0.36886298422662445
2010,ERLA,Botany,278,4,Banvel 0.1,,2.0,0.1418970546041639,2.0,0.1418970546041639,1.0,0.1001674211615598
2010,ERLA,Botany,281,6,Roundup 0.1,,12.0,0.3537416058896715,17.0,0.4249887829624035,14.0,0.38349700393093333
2010,ERLA,Botany,287,7,Rdup/Bnvl 0.01,,2.0,0.1418970546041639,5.0,0.2255134058981312,4.0,0.20135792079033082
2010,ERLA,Botany,297,6,Roundup 0.1,,1.0,0.1001674211615598,1.0,0.1001674211615598,1.0,0.1001674211615598
2010,ERLA,Botany,300,2,No Spray,,5.0,0.2255134058981312,7.0,0.2677633271571939,5.0,0.2255134058981312
2010,ERLA,Botany,301,5,Roundup 0.01,,10.0,0.32175055439664224,15.0,0.3976994150920718,25.0,0.5235987755982989
2010,ERLA,Botany,302,3,Banvel 0.01,,42.0,0.7050528369214929,65.0,0.9377444904051472,60.0,0.8860771237926137
2010,ERLA,Botany,303,7,Rdup/Bnvl 0.01,,10.0,0.32175055439664224,5.0,0.2255134058981312,7.0,0.2677633271571939
2010,ERLA,Botany,304,6,Roundup 0.1,,23.0,0.5001796086974873,20.0,0.46364760900080615,10.0,0.32175055439664224
2010,ERLA,Botany,305,7,Rdup/Bnvl 0.01,,9.0,0.3046926540153975,16.0,0.411516846067488,13.0,0.36886298422662445
2010,ERLA,Botany,306,5,Roundup 0.01,,27.0,0.5464005641379722,50.0,0.7853981633974484,55.0,0.8354818739782282
2010,ERLA,Botany,311,3,Banvel 0.01,,37.0,0.6538870619432138,60.0,0.8860771237926137,65.0,0.9377444904051472
2010,ERLA,Botany,314,3,Banvel 0.01,,20.0,0.46364760900080615,28.0,0.5575988266995368,30.0,0.5796397403637042
2010,ERLA,Botany,315,4,Banvel 0.1,,45.0,0.7353144528166684,62.0,0.9065810889169299,54.0,0.8254409534142778
2010,ERLA,Botany,318,1,Carrier Control,,45.0,0.7353144528166684,46.0,0.7453553733806187,68.0,0.9695321101157683
2010,ERLA,Botany,321,1,Carrier Control,,18.0,0.4381490305841703,30.0,0.5796397403637042,26.0,0.5350708071951543
2010,ERLA,Botany,324,5,Roundup 0.01,,12.0,0.3537416058896715,23.0,0.5001796086974873,24.0,0.5119726880494763
2010,ERLA,Botany,325,6,Roundup 0.1,,18.0,0.4381490305841703,27.0,0.5464005641379722,25.0,0.5235987755982989
2010,ERLA,Botany,326,2,No Spray,,48.0,0.7653928262204538,60.0,0.8860771237926137,60.0,0.8860771237926137
2010,ERLA,Botany,328,2,No Spray,,12.0,0.3537416058896715,15.0,0.3976994150920718,15.0,0.3976994150920718
2010,ERLA,Botany,329,6,Roundup 0.1,,7.0,0.2677633271571939,5.0,0.2255134058981312,4.0,0.20135792079033082
2010,ERLA,Botany,330,2,No Spray,,4.0,0.20135792079033082,4.0,0.20135792079033082,3.0,0.17408301063648043
2010,ERLA,Botany,331,5,Roundup 0.01,,18.0,0.4381490305841703,45.0,0.7353144528166684,10.0,0.32175055439664224
2010,ERLA,Botany,334,4,Banvel 0.1,,17.0,0.4249887829624035,27.0,0.5464005641379722,27.0,0.5464005641379722
2010,ERLA,Botany,335,3,Banvel 0.01,,28.0,0.5575988266995368,35.0,0.6330518363897495,33.0,0.6119397146338674
2010,ERLA,Botany,341,8,Rdup/Bnvl 0.1,,23.0,0.5001796086974873,30.0,0.5796397403637042,25.0,0.5235987755982989
2010,ERLA,Botany,347,8,Rdup/Bnvl 0.1,,10.0,0.32175055439664224,10.0,0.32175055439664224,8.0,0.2867565522115484
2010,ERLA,Botany,351,5,Roundup 0.01,,27.0,0.5464005641379722,48.0,0.7653928262204538,28.0,0.5575988266995368
2010,ERLA,Botany,352,1,Carrier Control,,10.0,0.32175055439664224,12.0,0.3537416058896715,10.0,0.32175055439664224
2010,ERLA,Botany,353,1,Carrier Control,,16.0,0.411516846067488,32.0,0.6012642166791282,30.0,0.5796397403637042
2010,ERLA,Botany,354,4,Banvel 0.1,,25.0,0.5235987755982989,38.0,0.6642152378779667,37.0,0.6538870619432138
2010,ERLA,Botany,355,7,Rdup/Bnvl 0.01,,8.0,0.2867565522115484,10.0,0.32175055439664224,18.0,0.4381490305841703
2010,ERLA,Botany,356,1,Carrier Control,,12.0,0.3537416058896715,20.0,0.46364760900080615,10.0,0.32175055439664224
2010,ERLA,Botany,360,8,Rdup/Bnvl 0.1,,8.0,0.2867565522115484,5.0,0.2255134058981312,7.0,0.2677633271571939
2010,ERLA,Botany,361,8,Rdup/Bnvl 0.1,,22.0,0.4882052633969172,30.0,0.5796397403637042,38.0,0.6642152378779667
2010,ERLA,Botany,362,7,Rdup/Bnvl 0.01,,25.0,0.5235987755982989,35.0,0.6330518363897495,28.0,0.5575988266995368
2010,ERLA,Botany,363,1,Carrier Control,,38.0,0.6642152378779667,57.0,0.8556288707523763,41.0,0.6949049377741745
2010,ERLA,Botany,364,6,Roundup 0.1,,33.0,0.6119397146338674,35.0,0.6330518363897495,35.0,0.6330518363897495
2010,ERLA,Botany,365,5,Roundup 0.01,,12.0,0.3537416058896715,15.0,0.3976994150920718,10.0,0.32175055439664224
2010,ERLA,Botany,368,5,Roundup 0.01,,19.0,0.4510268117962624,46.0,0.7453553733806187,14.0,0.38349700393093333
2010,ERLA,Botany,371,7,Rdup/Bnvl 0.01,,15.0,0.3976994150920718,18.0,0.4381490305841703,9.0,0.3046926540153975
2010,ERLA,Botany,374,8,Rdup/Bnvl 0.1,,17.0,0.4249887829624035,23.0,0.5001796086974873,25.0,0.5235987755982989
2010,ERLA,Botany,375,3,Banvel 0.01,,25.0,0.5235987755982989,31.0,0.590500015160318,30.0,0.5796397403637042
2010,ERLA,Botany,377,4,Banvel 0.1,,33.0,0.6119397146338674,55.0,0.8354818739782282,65.0,0.9377444904051472
2010,ERLA,Botany,379,2,No Spray,,16.0,0.411516846067488,25.0,0.5235987755982989,27.0,0.5464005641379722
2010,ERLA,Botany,380,7,Rdup/Bnvl 0.01,,30.0,0.5796397403637042,45.0,0.7353144528166684,48.0,0.7653928262204538
2010,ERLA,Botany,381,8,Rdup/Bnvl 0.1,,14.0,0.38349700393093333,10.0,0.32175055439664224,15.0,0.3976994150920718
2010,ERLA,Botany,382,8,Rdup/Bnvl 0.1,,25.0,0.5235987755982989,50.0,0.7853981633974484,53.0,0.8154161926200875
2010,ERLA,Botany,384,1,Carrier Control,,12.0,0.3537416058896715,25.0,0.5235987755982989,28.0,0.5575988266995368
2010,ERLA,Botany,388,3,Banvel 0.01,,15.0,0.3976994150920718,20.0,0.46364760900080615,26.0,0.5350708071951543
2010,ERLA,Botany,399,8,Rdup/Bnvl 0.1,,20.0,0.46364760900080615,22.0,0.4882052633969172,26.0,0.5350708071951543
2010,ERLA,Botany,400,2,No Spray,,23.0,0.5001796086974873,35.0,0.6330518363897495,30.0,0.5796397403637042
2011,ERLA,Botany ,210,1,carrier control,,0.5,0.07076973666221362,,,0.05,0.022362543584366713
2011,ERLA,Botany ,224,1,carrier control,,1.0,0.1001674211615598,,,0.05,0.022362543584366713
2011,ERLA,Botany ,225,1,carrier control,,17.0,0.4249887829624035,,,27.0,0.5464005641379722
2011,ERLA,Botany ,232,1,carrier control,,0.3,0.054799678915819716,,,0.05,0.022362543584366713
2011,ERLA,Botany ,247,1,carrier control,,5.0,0.2255134058981312,,,3.0,0.17408301063648043
2011,ERLA,Botany ,310,1,carrier control,,36.0,0.6435011087932843,,,44.0,0.7252532222000542
2011,ERLA,Botany ,324,1,carrier control,,21.0,0.4760338180613228,,,45.0,0.7353144528166684
2011,ERLA,Botany ,366,1,carrier control,,22.0,0.4882052633969172,,,55.0,0.8354818739782282
2011,ERLA,Botany ,209,2,no spray,,10.0,0.32175055439664224,,,8.0,0.2867565522115484
2011,ERLA,Botany ,290,2,no spray,,1.0,0.1001674211615598,,,,
2011,ERLA,Botany ,326,2,no spray,,50.0,0.7853981633974484,,,97.0,1.3967133161584162
2011,ERLA,Botany ,327,2,no spray,,20.0,0.46364760900080615,,,8.0,0.2867565522115484
2011,ERLA,Botany ,351,2,no spray,,7.0,0.2677633271571939,,,7.0,0.2677633271571939
2011,ERLA,Botany ,356,2,no spray,,11.0,0.3380652547803307,,,15.0,0.3976994150920718
2011,ERLA,Botany ,368,2,no spray,,8.0,0.2867565522115484,,,5.0,0.2255134058981312
2011,ERLA,Botany ,380,2,no spray,,17.0,0.4249887829624035,,,30.0,0.5796397403637042
2011,ERLA,Botany ,252,3,Banvel 0.1,,24.0,0.5119726880494763,,,38.0,0.6642152378779667
2011,ERLA,Botany ,261,3,Banvel 0.1,,5.0,0.2255134058981312,,,1.0,0.1001674211615598
2011,ERLA,Botany ,265,3,Banvel 0.1,,14.0,0.38349700393093333,,,25.0,0.5235987755982989
2011,ERLA,Botany ,288,3,Banvel 0.1,,0.2,0.044736280102247346,,,0.05,0.022362543584366713
2011,ERLA,Botany ,311,3,Banvel 0.1,,31.0,0.590500015160318,,,47.0,0.7553801341748092
2011,ERLA,Botany ,319,3,Banvel 0.1,,5.0,0.2255134058981312,,,6.0,0.24746706317044773
2011,ERLA,Botany ,320,3,Banvel 0.1,,17.0,0.4249887829624035,,,25.0,0.5235987755982989
2011,ERLA,Botany ,377,3,Banvel 0.1,,48.0,0.7653928262204538,,,83.0,1.1458075438324933
2011,ERLA,Botany ,266,4,Banvel 0.2,,15.0,0.3976994150920718,,,20.0,0.46364760900080615
2011,ERLA,Botany ,278,4,Banvel 0.2,,,,,,,
2011,ERLA,Botany ,300,4,Banvel 0.2,,,,,,,
2011,ERLA,Botany ,328,4,Banvel 0.2,,22.0,0.4882052633969172,,,38.0,0.6642152378779667
2011,ERLA,Botany ,359,4,Banvel 0.2,,4.0,0.20135792079033082,,,1.7,0.13075632458015415
2011,ERLA,Botany ,364,4,Banvel 0.2,,25.0,0.5235987755982989,,,27.0,0.5464005641379722
2011,ERLA,Botany ,379,4,Banvel 0.2,,16.0,0.411516846067488,,,23.0,0.5001796086974873
2011,ERLA,Botany ,382,4,Banvel 0.2,,31.0,0.590500015160318,,,45.0,0.7353144528166684
2011,ERLA,Botany ,236,5,Roundup 0.1,,2.0,0.1418970546041639,,,0.05,0.022362543584366713
2011,ERLA,Botany ,248,5,Roundup 0.1,,0.2,0.044736280102247346,,,0.1,0.03162804943757168
2011,ERLA,Botany ,260,5,Roundup 0.1,,30.0,0.5796397403637042,,,55.0,0.8354818739782282
2011,ERLA,Botany ,264,5,Roundup 0.1,,13.0,0.36886298422662445,,,27.0,0.5464005641379722
2011,ERLA,Botany ,305,5,Roundup 0.1,,7.0,0.2677633271571939,,,6.0,0.24746706317044773
2011,ERLA,Botany ,331,5,Roundup 0.1,,0.2,0.044736280102247346,,,0.6,0.0775373364821692
2011,ERLA,Botany ,332,5,Roundup 0.1,,31.0,0.590500015160318,,,80.0,1.1071487177940904
2011,ERLA,Botany ,363,5,Roundup 0.1,,44.0,0.7252532222000542,,,89.0,1.2327310720145659
2011,ERLA,Botany ,203,6,Roundup 0.2,,13.0,0.36886298422662445,,,10.0,0.32175055439664224
2011,ERLA,Botany ,234,6,Roundup 0.2,,1.0,0.1001674211615598,,,0.5,0.07076973666221362
2011,ERLA,Botany ,258,6,Roundup 0.2,,8.0,0.2867565522115484,,,4.0,0.20135792079033082
2011,ERLA,Botany ,275,6,Roundup 0.2,,0.1,0.03162804943757168,,,0.1,0.03162804943757168
2011,ERLA,Botany ,297,6,Roundup 0.2,,,,,,,
2011,ERLA,Botany ,303,6,Roundup 0.2,,,,,,,
2011,ERLA,Botany ,329,6,Roundup 0.2,,5.0,0.2255134058981312,,,13.0,0.36886298422662445
2011,ERLA,Botany ,369,6,Roundup 0.2,,15.0,0.3976994150920718,,,35.0,0.6330518363897495
2011,ERLA,Botany ,237,7,Rdup+Bnvl 0.1,,0.2,0.044736280102247346,,,0.0,0.0
2011,ERLA,Botany ,257,7,Rdup+Bnvl 0.1,,3.0,0.17408301063648043,,,2.0,0.1418970546041639
2011,ERLA,Botany ,301,7,Rdup+Bnvl 0.1,,6.0,0.24746706317044773,,,2.5,0.15878021464576067
2011,ERLA,Botany ,309,7,Rdup+Bnvl 0.1,,2.5,0.15878021464576067,,,1.0,0.1001674211615598
2011,ERLA,Botany ,312,7,Rdup+Bnvl 0.1,,32.0,0.6012642166791282,,,50.0,0.7853981633974484
2011,ERLA,Botany ,333,7,Rdup+Bnvl 0.1,,5.0,0.2255134058981312,,,4.0,0.20135792079033082
2011,ERLA,Botany ,354,7,Rdup+Bnvl 0.1,,16.0,0.411516846067488,,,13.0,0.36886298422662445
2011,ERLA,Botany ,355,7,Rdup+Bnvl 0.1,,2.0,0.1418970546041639,,,3.0,0.17408301063648043
2011,ERLA,Botany ,206,8,Rdup+Bnvl 0.2,,20.0,0.46364760900080615,,,32.0,0.6012642166791282
2011,ERLA,Botany ,277,8,Rdup+Bnvl 0.2,,5.0,0.2255134058981312,,,0.0,0.0
2011,ERLA,Botany ,281,8,Rdup+Bnvl 0.2,,2.0,0.1418970546041639,,,0.0,0.0
2011,ERLA,Botany ,302,8,Rdup+Bnvl 0.2,,35.0,0.6330518363897495,,,36.0,0.6435011087932843
2011,ERLA,Botany ,304,8,Rdup+Bnvl 0.2,,0.2,0.044736280102247346,,,0.3,0.054799678915819716
2011,ERLA,Botany ,321,8,Rdup+Bnvl 0.2,,2.0,0.1418970546041639,,,1.0,0.1001674211615598
2011,ERLA,Botany ,330,8,Rdup+Bnvl 0.2,,6.0,0.24746706317044773,,,2.5,0.15878021464576067
2011,ERLA,Botany ,370,8,Rdup+Bnvl 0.2,,20.0,0.46364760900080615,,,25.0,0.5235987755982989
2011,ERLA,Hyslop,6,1,carrier control,,3.0,0.17408301063648043,,,12.0,0.3537416058896715
2011,ERLA,Hyslop,31,1,carrier control,,18.0,0.4381490305841703,,,44.0,0.7252532222000542
2011,ERLA,Hyslop,57,1,carrier control,,17.0,0.4249887829624035,,,24.0,0.5119726880494763
2011,ERLA,Hyslop,74,1,carrier control,,15.0,0.3976994150920718,,,37.0,0.6538870619432138
2011,ERLA,Hyslop,114,1,carrier control,,8.0,0.2867565522115484,,,25.0,0.5235987755982989
2011,ERLA,Hyslop,126,1,carrier control,,17.0,0.4249887829624035,,,20.0,0.46364760900080615
2011,ERLA,Hyslop,171,1,carrier control,,5.0,0.2255134058981312,,,6.0,0.24746706317044773
2011,ERLA,Hyslop,174,1,carrier control,,31.0,0.590500015160318,,,85.0,1.173096911702825
2011,ERLA,Hyslop,13,2,no spray,,9.0,0.3046926540153975,,,12.0,0.3537416058896715
2011,ERLA,Hyslop,17,2,no spray,,18.0,0.4381490305841703,,,57.0,0.8556288707523763
2011,ERLA,Hyslop,82,2,no spray,,10.0,0.32175055439664224,,,16.0,0.411516846067488
2011,ERLA,Hyslop,106,2,no spray,,3.0,0.17408301063648043,,,2.0,0.1418970546041639
2011,ERLA,Hyslop,113,2,no spray,,11.0,0.3380652547803307,,,28.0,0.5575988266995368
2011,ERLA,Hyslop,116,2,no spray,,10.0,0.32175055439664224,,,12.0,0.3537416058896715
2011,ERLA,Hyslop,125,2,no spray,,12.0,0.3537416058896715,,,12.0,0.3537416058896715
2011,ERLA,Hyslop,184,2,no spray,,28.0,0.5575988266995368,,,50.0,0.7853981633974484
2011,ERLA,Hyslop,75,3,Banvel 0.1,,2.0,0.1418970546041639,,,3.3,0.1826732810128579
2011,ERLA,Hyslop,80,3,Banvel 0.1,,16.0,0.411516846067488,,,15.0,0.3976994150920718
2011,ERLA,Hyslop,81,3,Banvel 0.1,,0.2,0.044736280102247346,,,0.2,0.044736280102247346
2011,ERLA,Hyslop,102,3,Banvel 0.1,,1.7,0.13075632458015415,,,1.0,0.1001674211615598
2011,ERLA,Hyslop,127,3,Banvel 0.1,,28.0,0.5575988266995368,,,47.0,0.7553801341748092
2011,ERLA,Hyslop,137,3,Banvel 0.1,,10.0,0.32175055439664224,,,15.0,0.3976994150920718
2011,ERLA,Hyslop,180,3,Banvel 0.1,,20.0,0.46364760900080615,,,20.0,0.46364760900080615
2011,ERLA,Hyslop,181,3,Banvel 0.1,,27.0,0.5464005641379722,,,45.0,0.7353144528166684
2011,ERLA,Hyslop,12,4,Banvel 0.2,,14.0,0.38349700393093333,,,20.0,0.46364760900080615
2011,ERLA,Hyslop,21,4,Banvel 0.2,,17.0,0.4249887829624035,,,32.0,0.6012642166791282
2011,ERLA,Hyslop,65,4,Banvel 0.2,,17.0,0.4249887829624035,,,27.0,0.5464005641379722
2011,ERLA,Hyslop,83,4,Banvel 0.2,,4.0,0.20135792079033082,,,4.0,0.20135792079033082
2011,ERLA,Hyslop,122,4,Banvel 0.2,,6.0,0.24746706317044773,,,8.0,0.2867565522115484
2011,ERLA,Hyslop,128,4,Banvel 0.2,,5.0,0.2255134058981312,,,5.0,0.2255134058981312
2011,ERLA,Hyslop,178,4,Banvel 0.2,,8.0,0.2867565522115484,,,5.0,0.2255134058981312
2011,ERLA,Hyslop,188,4,Banvel 0.2,,28.0,0.5575988266995368,,,58.0,0.8657434898734035
2011,ERLA,Hyslop,26,5,Roundup 0.1,,5.0,0.2255134058981312,,,7.0,0.2677633271571939
2011,ERLA,Hyslop,107,5,Roundup 0.1,,17.0,0.4249887829624035,,,30.0,0.5796397403637042
2011,ERLA,Hyslop,117,5,Roundup 0.1,,8.0,0.2867565522115484,,,19.0,0.4510268117962624
2011,ERLA,Hyslop,123,5,Roundup 0.1,,18.0,0.4381490305841703,,,40.0,0.684719203002283
2011,ERLA,Hyslop,143,5,Roundup 0.1,,17.0,0.4249887829624035,,,52.0,0.8054035005744429
2011,ERLA,Hyslop,168,5,Roundup 0.1,,9.0,0.3046926540153975,,,12.0,0.3537416058896715
2011,ERLA,Hyslop,172,5,Roundup 0.1,,23.0,0.5001796086974873,,,50.0,0.7853981633974484
2011,ERLA,Hyslop,185,5,Roundup 0.1,,25.0,0.5235987755982989,,,78.0,1.0825910633979794
2011,ERLA,Hyslop,2,6,Roundup 0.2,,17.0,0.4249887829624035,,,50.0,0.7853981633974484
2011,ERLA,Hyslop,51,6,Roundup 0.2,,3.0,0.17408301063648043,,,15.0,0.3976994150920718
2011,ERLA,Hyslop,71,6,Roundup 0.2,,10.0,0.32175055439664224,,,10.0,0.32175055439664224
2011,ERLA,Hyslop,86,6,Roundup 0.2,,19.0,0.4510268117962624,,,33.0,0.6119397146338674
2011,ERLA,Hyslop,100,6,Roundup 0.2,,10.0,0.32175055439664224,,,35.0,0.6330518363897495
2011,ERLA,Hyslop,111,6,Roundup 0.2,,15.0,0.3976994150920718,,,50.0,0.7853981633974484
2011,ERLA,Hyslop,121,6,Roundup 0.2,,5.0,0.2255134058981312,,,7.0,0.2677633271571939
2011,ERLA,Hyslop,131,6,Roundup 0.2,,6.0,0.24746706317044773,,,25.0,0.5235987755982989
2011,ERLA,Hyslop,64,7,Rdup+Bnvl 0.1,,5.0,0.2255134058981312,,,7.0,0.2677633271571939
2011,ERLA,Hyslop,93,7,Rdup+Bnvl 0.1,,5.0,0.2255134058981312,,,6.0,0.24746706317044773
2011,ERLA,Hyslop,96,7,Rdup+Bnvl 0.1,,15.0,0.3976994150920718,,,25.0,0.5235987755982989
2011,ERLA,Hyslop,101,7,Rdup+Bnvl 0.1,,1.5,0.12278275875764601,,,1.0,0.1001674211615598
2011,ERLA,Hyslop,156,7,Rdup+Bnvl 0.1,,,,,,,
2011,ERLA,Hyslop,158,7,Rdup+Bnvl 0.1,,7.0,0.2677633271571939,,,7.0,0.2677633271571939
2011,ERLA,Hyslop,175,7,Rdup+Bnvl 0.1,,28.0,0.5575988266995368,,,46.0,0.7453553733806187
2011,ERLA,Hyslop,183,7,Rdup+Bnvl 0.1,,22.0,0.4882052633969172,,,23.0,0.5001796086974873
2011,ERLA,Hyslop,60,8,Rdup+Bnvl 0.2,,17.0,0.4249887829624035,,,25.0,0.5235987755982989
2011,ERLA,Hyslop,63,8,Rdup+Bnvl 0.2,,5.0,0.2255134058981312,,,4.0,0.20135792079033082
2011,ERLA,Hyslop,91,8,Rdup+Bnvl 0.2,,10.0,0.32175055439664224,,,10.0,0.32175055439664224
2011,ERLA,Hyslop,132,8,Rdup+Bnvl 0.2,,,,,,,
2011,ERLA,Hyslop,169,8,Rdup+Bnvl 0.2,,5.0,0.2255134058981312,,,5.0,0.2255134058981312
2011,ERLA,Hyslop,173,8,Rdup+Bnvl 0.2,,15.0,0.3976994150920718,,,25.0,0.5235987755982989
2011,ERLA,Hyslop,179,8,Rdup+Bnvl 0.2,,6.0,0.24746706317044773,,,6.0,0.24746706317044773
2011,ERLA,Hyslop,187,8,Rdup+Bnvl 0.2,,12.0,0.3537416058896715,,,21.0,0.4760338180613228
2010,FEID,Hyslop,4,6,Roundup 0.1,,10.0,,,,3.0,0.17408301063648043
2010,FEID,Hyslop,12,7,Rdup/Bnvl 0.01,,15.0,,,,15.0,0.3976994150920718
2010,FEID,Hyslop,13,5,Roundup 0.01,,25.0,,,,15.0,0.3976994150920718
2010,FEID,Hyslop,15,1,Carrier Control,,7.0,,,,3.0,0.17408301063648043
2010,FEID,Hyslop,17,3,Banvel 0.01,,7.0,,,,2.0,0.1418970546041639
2010,FEID,Hyslop,21,4,Banvel 0.1,,5.0,,,,4.0,0.20135792079033082
2010,FEID,Hyslop,29,2,No Spray,,5.0,,,,6.0,0.24746706317044773
2010,FEID,Hyslop,36,7,Rdup/Bnvl 0.01,,3.0,,,,3.0,0.17408301063648043
2010,FEID,Hyslop,39,7,Rdup/Bnvl 0.01,,9.0,,,,5.0,0.2255134058981312
2010,FEID,Hyslop,40,3,Banvel 0.01,,11.0,,,,5.0,0.2255134058981312
2010,FEID,Hyslop,41,2,No Spray,,3.0,,,,5.0,0.2255134058981312
2010,FEID,Hyslop,49,8,Rdup/Bnvl 0.1,,3.0,,,,2.0,0.1418970546041639
2010,FEID,Hyslop,51,4,Banvel 0.1,,18.0,,,,8.0,0.2867565522115484
2010,FEID,Hyslop,62,4,Banvel 0.1,,10.0,,,,10.0,0.32175055439664224
2010,FEID,Hyslop,70,2,No Spray,,3.0,,,,2.0,0.1418970546041639
2010,FEID,Hyslop,71,4,Banvel 0.1,,5.0,,,,4.0,0.20135792079033082
2010,FEID,Hyslop,72,3,Banvel 0.01,,5.0,,,,5.0,0.2255134058981312
2010,FEID,Hyslop,73,2,No Spray,,11.0,,,,10.0,0.32175055439664224
2010,FEID,Hyslop,79,3,Banvel 0.01,,3.0,,,,1.0,0.1001674211615598
2010,FEID,Hyslop,83,8,Rdup/Bnvl 0.1,,6.0,,,,5.0,0.2255134058981312
2010,FEID,Hyslop,85,6,Roundup 0.1,,3.0,,,,3.0,0.17408301063648043
2010,FEID,Hyslop,92,2,No Spray,,3.0,,,,3.0,0.17408301063648043
2010,FEID,Hyslop,93,8,Rdup/Bnvl 0.1,,5.0,,,,6.0,0.24746706317044773
2010,FEID,Hyslop,100,7,Rdup/Bnvl 0.01,,3.0,,,,2.0,0.1418970546041639
2010,FEID,Hyslop,101,3,Banvel 0.01,,14.0,,,,12.0,0.3537416058896715
2010,FEID,Hyslop,102,1,Carrier Control,,11.0,,,,10.0,0.32175055439664224
2010,FEID,Hyslop,103,5,Roundup 0.01,,3.0,,,,3.0,0.17408301063648043
2010,FEID,Hyslop,104,8,Rdup/Bnvl 0.1,,5.0,,,,3.0,0.17408301063648043
2010,FEID,Hyslop,105,1,Carrier Control,,7.0,,,,4.0,0.20135792079033082
2010,FEID,Hyslop,106,3,Banvel 0.01,,1.0,,,,2.0,0.1418970546041639
2010,FEID,Hyslop,107,3,Banvel 0.01,,10.0,,,,15.0,0.3976994150920718
2010,FEID,Hyslop,110,4,Banvel 0.1,,7.0,,,,4.0,0.20135792079033082
2010,FEID,Hyslop,111,8,Rdup/Bnvl 0.1,,11.0,,,,10.0,0.32175055439664224
2010,FEID,Hyslop,113,4,Banvel 0.1,,5.0,,,,3.0,0.17408301063648043
2010,FEID,Hyslop,114,2,No Spray,,3.0,,,,3.0,0.17408301063648043
2010,FEID,Hyslop,115,6,Roundup 0.1,,6.0,,,,5.0,0.2255134058981312
2010,FEID,Hyslop,121,7,Rdup/Bnvl 0.01,,,,,,,
2010,FEID,Hyslop,124,1,Carrier Control,,5.0,,,,5.0,0.2255134058981312
2010,FEID,Hyslop,125,8,Rdup/Bnvl 0.1,,3.0,,,,3.0,0.17408301063648043
2010,FEID,Hyslop,126,7,Rdup/Bnvl 0.01,,4.0,,,,4.0,0.20135792079033082
2010,FEID,Hyslop,128,6,Roundup 0.1,,10.0,,,,6.0,0.24746706317044773
2010,FEID,Hyslop,132,1,Carrier Control,,5.0,,,,4.0,0.20135792079033082
2010,FEID,Hyslop,135,6,Roundup 0.1,,12.0,,,,11.0,0.3380652547803307
2010,FEID,Hyslop,138,1,Carrier Control,,6.0,,,,5.0,0.2255134058981312
2010,FEID,Hyslop,141,7,Rdup/Bnvl 0.01,,4.0,,,,3.0,0.17408301063648043
2010,FEID,Hyslop,142,1,Carrier Control,,4.0,,,,4.0,0.20135792079033082
2010,FEID,Hyslop,143,7,Rdup/Bnvl 0.01,,5.0,,,,4.0,0.20135792079033082
2010,FEID,Hyslop,144,5,Roundup 0.01,,5.0,,,,3.0,0.17408301063648043
2010,FEID,Hyslop,146,2,No Spray,,7.0,,,,2.0,0.1418970546041639
2010,FEID,Hyslop,147,8,Rdup/Bnvl 0.1,,17.0,,,,8.0,0.2867565522115484
2010,FEID,Hyslop,163,6,Roundup 0.1,,5.0,,,,5.0,0.2255134058981312
2010,FEID,Hyslop,164,1,Carrier Control,,5.0,,,,5.0,0.2255134058981312
2010,FEID,Hyslop,170,6,Roundup 0.1,,2.0,,,,5.0,0.2255134058981312
2010,FEID,Hyslop,177,5,Roundup 0.01,,5.0,,,,5.0,0.2255134058981312
2010,FEID,Hyslop,179,5,Roundup 0.01,,10.0,,,,10.0,0.32175055439664224
2010,FEID,Hyslop,181,5,Roundup 0.01,,11.0,,,,11.0,0.3380652547803307
2010,FEID,Hyslop,185,4,Banvel 0.1,,3.0,,,,2.0,0.1418970546041639
2010,FEID,Hyslop,186,4,Banvel 0.1,,5.0,,,,5.0,0.2255134058981312
